"1 _ 1",,,"2A",,,"1 _ 3",,,"4A",,
"Time","Force","Uzama","Time","Force","Uzama","Time","Force","Uzama","Time","Force","Uzama"
"sec","N","mm","sec","N","mm","sec","N","mm","sec","N","mm"
"1.73","0.5292892","0.05756667","1.73","22.57506","0.05756667","1.73","18.87163","0.05753333","1.73","27.2131","0.05763333"
"1.74","0.5372365","0.0579","1.74","22.56235","0.0579","1.74","18.86686","0.05786667","1.74","27.17972","0.05796667"
"1.75","0.5372365","0.05823334","1.75","22.5385","0.0582","1.75","18.89547","0.0582","1.75","27.17018","0.0583"
"1.76","0.5340576","0.05856667","1.76","22.50513","0.05856667","1.76","18.95905","0.05853333","1.76","27.16541","0.0586"
"1.77","0.5324681","0.0589","1.77","22.47969","0.05886667","1.77","19.04964","0.0589","1.77","27.14952","0.0589"
"1.78","0.538826","0.05923333","1.78","22.46857","0.05923333","1.78","19.13706","0.05926667","1.78","27.1368","0.05926667"
"1.79","0.5531311","0.05956667","1.79","22.47175","0.05956667","1.79","19.18634","0.05956667","1.79","27.1368","0.0596"
"1.8","0.5626678","0.0599","1.8","22.48764","0.05993333","1.8","19.19588","0.05986667","1.8","27.13045","0.05996667"
"1.81","0.5674362","0.06026667","1.81","22.50989","0.06026667","1.81","19.20064","0.06016667","1.81","27.11137","0.06026667"
"1.82","0.5674362","0.06056667","1.82","22.52261","0.06056667","1.82","19.21972","0.0605","1.82","27.08753","0.0606"
"1.83","0.5674362","0.0609","1.83","22.50989","0.0609","1.83","19.22925","0.06086667","1.83","27.07163","0.06093333"
"1.84","0.5674362","0.06123333","1.84","22.47969","0.06123333","1.84","19.21495","0.0612","1.84","27.07163","0.0613"
"1.85","0.5658467","0.06153334","1.85","22.44631","0.06156667","1.85","19.18793","0.06153334","1.85","27.07163","0.06163333"
"1.86","0.5578995","0.0619","1.86","22.4177","0.0619","1.86","19.17998","0.0619","1.86","27.05415","0.06196667"
"1.87","0.5531311","0.06223333","1.87","22.39227","0.06223333","1.87","19.207","0.06223333","1.87","27.02554","0.06226667"
"1.88","0.5578995","0.06256667","1.88","22.36684","0.06256667","1.88","19.26104","0.06256667","1.88","26.99216","0.0626"
"1.89","0.5658467","0.0629","1.89","22.35095","0.0629","1.89","19.31667","0.0629","1.89","26.97468","0.06293333"
"1.9","0.5706151","0.0632","1.9","22.343","0.06323333","1.9","19.35005","0.06326666","1.9","26.97627","0.0633"
"1.91","0.5785624","0.06353334","1.91","22.33823","0.06356667","1.91","19.36277","0.06363334","1.91","26.97627","0.0636"
"1.92","0.5833308","0.06386667","1.92","22.33505","0.06386667","1.92","19.37389","0.06393334","1.92","26.95878","0.06396667"
"1.93","0.5785624","0.06423333","1.93","22.33823","0.06423333","1.93","19.39456","0.06423333","1.93","26.92541","0.06426667"
"1.94","0.5706151","0.0646","1.94","22.33982","0.06456666","1.94","19.42317","0.06453333","1.94","26.90156","0.0646"
"1.95","0.5658467","0.0649","1.95","22.33187","0.0649","1.95","19.45814","0.06486667","1.95","26.89203","0.06496666"
"1.96","0.5674362","0.06523333","1.96","22.31757","0.0652","1.96","19.49946","0.06523333","1.96","26.87931","0.0653"
"1.97","0.5785624","0.0656","1.97","22.30167","0.06553333","1.97","19.54079","0.06556667","1.97","26.86659","0.0656"
"1.98","0.5785624","0.0659","1.98","22.28419","0.06586666","1.98","19.57258","0.0659","1.98","26.86659","0.06596667"
"1.99","0.5626678","0.0662","1.99","22.2524","0.06623334","1.99","19.58529","0.06623334","1.99","26.87454","0.06626667"
"2","0.5531311","0.06653333","2","22.21902","0.06656667","2","19.59801","0.06656667","2","26.87613","0.06656667"
"2.01","0.559489","0.06686667","2.01","22.18882","0.06686667","2.01","19.62662","0.0669","2.01","26.86819","0.0669"
"2.02","0.5833308","0.0672","2.02","22.16021","0.0672","2.02","19.66953","0.06723333","2.02","26.85865","0.06726667"
"2.03","0.6008148","0.0675","2.03","22.13955","0.06756667","2.03","19.70609","0.06756667","2.03","26.83798","0.0676"
"2.04","0.6071727","0.06783333","2.04","22.13637","0.06786667","2.04","19.71086","0.0679","2.04","26.79348","0.06793334"
"2.05","0.5992253","0.0682","2.05","22.14432","0.0682","2.05","19.69814","0.0682","2.05","26.75056","0.06826667"
"2.06","0.5960464","0.06853333","2.06","22.14432","0.06853333","2.06","19.68702","0.06853333","2.06","26.73308","0.06863333"
"2.07","0.6071727","0.06886667","2.07","22.12683","0.06886667","2.07","19.68543","0.0689","2.07","26.74739","0.06893333"
"2.08","0.611941","0.0692","2.08","22.10299","0.06923334","2.08","19.68066","0.06923334","2.08","26.75533","0.06923334"
"2.09","0.6039937","0.06956667","2.09","22.08869","0.06956667","2.09","19.66","0.06956667","2.09","26.73785","0.06956667"
"2.1","0.5801519","0.0699","2.1","22.09028","0.0699","2.1","19.62662","0.0699","2.1","26.70447","0.06993333"
"2.11","0.5578995","0.0702","2.11","22.09822","0.07023334","2.11","19.59483","0.07023334","2.11","26.68063","0.0703"
"2.12","0.5420049","0.07053334","2.12","22.1014","0.07053334","2.12","19.56463","0.07056667","2.12","26.67268","0.07063334"
"2.13","0.538826","0.07083333","2.13","22.09822","0.0709","2.13","19.53284","0.07086667","2.13","26.66473","0.07096667"
"2.14","0.538826","0.07116666","2.14","22.09028","0.07123333","2.14","19.52012","0.0712","2.14","26.65202","0.0713"
"2.15","0.5324681","0.0715","2.15","22.08233","0.07156667","2.15","19.52807","0.07153334","2.15","26.63771","0.07163333"
"2.16","0.5245209","0.07183333","2.16","22.07756","0.0719","2.16","19.52489","0.07186667","2.16","26.61864","0.07196667"
"2.17","0.518163","0.07216667","2.17","22.07756","0.07223333","2.17","19.49151","0.0722","2.17","26.60116","0.07226667"
